type,horse,CO2,CO
Car,553,485.57,0.6625
Car,553,294.7,0.6115
Car,553,450.2,0.6372
Car,553,274.86,0.46
Car,553,602.28,0.7336
Car,553,351.27,0.6456
Car,553,496.39,0.5789
Car,553,295.43,0.6926
Car,553,446.79,0.5678
Car,553,273.25,0.4786
Car,553,610.51,0.6619
Car,553,354.67,0.6267
Both,300,395.82,0.2125
Both,300,239.22,0.0788
Truck,181,282.5,0.037
Truck,181,282.5,0.037
Truck,181,282.5,0.037
Truck,181,282.5,0.037
Truck,181,212.54,0.0145
Truck,181,212.54,0.0145
Truck,181,212.54,0.0145
Truck,181,212.54,0.0145
Truck,181,295.11,0.0508
Truck,181,295.11,0.0508
Truck,181,295.11,0.0508
Truck,181,295.11,0.0508
Truck,181,210.13,0.0152
Truck,181,210.13,0.0152
Truck,181,210.13,0.0152
Truck,181,210.13,0.0152
Both,241,322.65,0.8582
Both,241,224.65,0.6223
Both,241,338.22,0.6209
Both,241,224.8,1.0062
Both,300,382.5934697,0.7383997
Both,300,246.4232731,0.4517294
Both,300,252.7437892,0.2614377
Both,300,375.4820652,0.2868817
Both,300,381.33,0.3227
Both,300,230.28,0.3964
Both,300,380.22,0.3115
Both,300,242.89,0.3091
Both,300,241.58,0.3794
Both,300,390.19,0.3674
Both,300,250.2012308,0.2643622
Both,300,379.1306399,0.468535
Both,300,372.9927851,0.1958344
Both,300,241.5423528,0.6218534
Both,300,372.08,0.2601
Both,300,232.18,0.1414
Both,300,393.76,0.2798
Both,300,232.87,0.4481
Truck,567,491.62,0.3578
Truck,567,330.69,0.5246
Truck,567,522.35,0.4785
Truck,300,365.02,0.154
Truck,300,232.52,0.0388
Truck,300,386.52,0.1394
Truck,300,231.87,0.0915
Truck,255,326.34,0.0513
Truck,255,326.34,0.0513
Truck,255,326.34,0.0513
Truck,255,326.34,0.0513
Truck,255,219.79,0.021
Truck,255,219.79,0.021
Truck,255,219.79,0.021
Truck,255,219.79,0.021
Truck,255,384.72,0.0226
Truck,255,384.72,0.0226
Truck,255,384.72,0.0226
Truck,255,384.72,0.0226
Truck,255,366.43,0.0471
Truck,255,366.43,0.0471
Truck,255,366.43,0.0471
Truck,255,366.43,0.0471
Truck,255,376.89,0.2375
Truck,255,376.89,0.2375
Truck,255,376.89,0.2375
Truck,255,376.89,0.2375
Truck,255,338.36,0.0378
Truck,255,338.36,0.0378
Truck,255,338.36,0.0378
Truck,255,338.36,0.0378
Truck,255,220.38,0.0203
Truck,255,220.38,0.0203
Truck,255,220.38,0.0203
